단어 명,물리 명,영문 명,금칙어
전시소요,WTRQM,WARTIME REQUIREMENT,
전시연금지역코드,WRPRCD,WARTIME PENSION REGION CODE,
전시연금코드,WRPCD,WARTIME PENSION CODE,
전시연합합동이동관리계획서,WMMP,WARTIME COMBINED AND JOINT MOVEMENT MANAGEMENT PLAN,
전시예산,WARBGT,WAR BUDGET,
전시예산배정,WBA,WARTIME BUDGET APPORTIONMENT,
전시완편명부,WCOR,WAR COMPLETE ORGANIZATION ROSTER,
전시외국군동맹국표준지원제도,WSSFAF,WARTIME STANDARD SUPPORT FOR FOREIGN ARMED FORCES,
전시이동계획서,WMP,WARTIME MOVEMENT PROGRAM,
전시인력운영계획,WMOP,WARTIME MANPOWER OPERATION PLAN,
전시주둔국지원,WHNS,WARTIME HOST NATION SUPPORT,
전시중앙급여매체,WCUPMD,WARTIME CENTER UNIT PAY MEDIA,
전시탄약상태코드,WACCD,WARTIME AMMUNITION CONDITION CODE,
전시통합수송지원계획서,WCTSP,WARTIME CONSOLIDATED TRANSPORTATION SUPPORT PLAN,
전시파손항공기수리,ABDR,AIRCRAFT BATTLE DAMAGE REPAIR,ABDR
전시편제,WREST,WAR ESTABLISHMENT,
전시품목번호,WTITMNO,WARTIME ITEM NUMBER,
전신,WHLBD,WHOLE BODY,
전신마취,GNRANTH,GENERAL ANESTHESIA,
전신주,TELPHPL,TELEPHONE POLE,
전신환,TLGMNORD,TELEGRAPH MONEY ORDER,
전신환매도율,TTSR,TELEGRAPH TRANSFER SELLING RATE,
전신환매입률,TTBR,TELEGRAPH TRANSFER BUYING RATE,전산환매입율
전실,CHGRM,CHANGE ROOM,
전압,VLTG,VOLTAGE,
전압계,VOLMTR,VOLTMETER,
전역,TRNSF,TRANSFER,
전역고유식별자,GUID,GLOBALLY UNIQUE INDENTIFICATION,GUID
전역근거법령조번호,TBSANO,TRANSFER BASIS STATUTE ARTICLE NUMBER,
전역근거법령항번호,TBSPNO,TRANSFER BASIS STATUTE PARAGRAPH NUMBER,
전역근거법령호번호,TBSINO,TRANSFER BASIS STATUTE ISSUE NUMBER,
전역미사일방어,TMD,THEATER MISSILE DEFENSE,전구유도탄방어
전역사유코드,TRCD,TRANSFER REASON CODE,
전역여비,TREXPTR,TRAVELING EXPENSES FOR TRANSFER,전역비
전역일자,TRNSFDT,TRANSFER DATE,"전역일,제대일,제대일자"
전역자,TRSFPSN,TRANSFER PERSON,
전역증서,CODFMS,CERTIFICATE OF DISCHARGE FROM MILITARY SERVICE,전역증
전역증서번호,CODFMSNO,CERTIFICATE OF DISCHARGE FROM MILITARY SERVICE NUMBER,
전역지원서,TRWAPN,TRANSFER WRITTEN APPLICATION,
전열기,ELTHTR,ELECTRIC HEATER,
전염병,CMCDS,COMMUNICABLE DISEASE,
전용,DVRSN,DIVERSION,
전용,EXUSE,EXCLUSIVE USE,
전용면적,EXAR,EXCLUSIVE AREA,
전용서식,ESVS,EXCLUSIVE USE FORM,
전용선로,PRVLN,PRIVATE LINE,
전용실,STTRM,STATEROOM,
전용회선,LLN,LEASED LINE,
전원,EVRYONE,EVERYONE,
전원,PWSPL,POWER SUPPLY,
전원공급,ELTPWSPL,ELECTRIC POWER SUPPLY,
전월,PMON,PREVIOUS MONTHS,
전위,ELCPTT,ELECTRIC POTENTIAL,
전이,TRNSFRC,TRANSFERENCE,
전이한계,TRSFLMT,TRANSFER LIMIT,
전일,PDAY,PREVIOUS DAY,"어제,전날"
전일제,FLTMSYS,FULL TIME SYSTEM,
전임,FLTMSRV,FULL TIME SERVICE,
전임자,PRDCSR,PREDECESSOR,
전입,MVGIN,MOVING IN,파입
전입일자,MVGINDT,MOVING IN DATE,"파입일자,파입일,전입일"
전입자,MVINNM,MOVING IN MAN,
전입전출코드,MVGIOCD,MOVING IN OUT CODE,
전자,ELCTR,ELECTRONIC,
전자감시,ELTSVL,ELECTRONIC SURVEILLANCE,"ESM,전자지원책,전자전지원책"
전자개표,BCNTSYS,BALLOT COUNTING SYSTEM,
전자검표기,BVRFSYS,BALLOT VERIFICATION SYSTEM,
전자결재,ELCAPRV,ELECTRONIC APPROVAL,
전자고지,ELCNTC,ELECTRONIC NOTICE,
전자공격,ELATK,ELECTRONIC ATTACK,"EA,전자전공격"
전자공격방해유형코드,EADSTBCTYPCD,ELECTRONIC ATTACK DISTURBANCE TYPE CODE,
전자공격방해주파수대역유형코드,ELADIFRBTCD,ELECTRONIC ATTACK DISTURBANCE FREQUENCY BAND TYPE CODE,
전자공무원증,EPSPC,ELECTRONIC PUBLIC SERVICE PERSONNEL IDENTIFICATION NUMBER CARD,
전자관인,ERNCSL,ELECTRON OFFICIAL SEAL,
전자기,ELCTM,ELECTROMAGNETISM,
전자기방해전자기파내부간섭,EMI,ELECTROMAGNETIC INTERFERENCE,
전자기파상호간섭전자환경적합성,EMC,ELECTROMAGNETIC COMPATIBILITY,
전자납부,ELCPAY,ELECTRONIC PAYMENT,
전자납부번호,ELCPAYNO,ELECTRONIC PAYMENT NUMBER,
전자문서,ELCDOC,ELECTRONIC DOCUMENTS,
전자문서관리시스템,EDMS,ELECTRONIC DOCUMENT MANAGEMENT SYSTEM,EDMS
전자문서교환,EDI,ELECTRONIC DATA INTERCHANGE,EDI
전자문서시스템,ECCST,ELECTRONIC DOCUMENT SYSTEM,
전자문자서명,ETCCS,ELECTRONIC DOCUMENT SIGN,
전자방해방어책,ECCM,ELECTRONIC COUNTER COUNTER MEASURE,
전자방해책,ECM,ELECTRONIC COUNTER MEASURE,
전자보호,EP,ELECTRONIC PROTECTION,
전자부호,ELCSGN,ELECTRONIC SIGN,
전자상거래,EC,ELECTRONIC COMMERCE,EC
전자서명,ELCSIGN,ELECTRONIC SIGNATURE,
전자식,ELCTRNC,ELECTRONIC,
전자식기술교범,IETM,INTERACTIVE ELECTRICAL TECHNICAL MANUAL,
전자이미지관인,ECNSL,ELECTRON IMAGE OFFICIAL SEAL,
전자이미지서명,ERSNT,ELECTRON IMAGE SIGNATURE,
전자입찰,ELCBD,ELECTRONIC BIDDING,
전자자금이체,EFT,ELECTRONIC FUNDS TRANSFER,
전자장비식별지침,EPL,ELECTRONIC PULSE LIST,EPL
전자전,EW,ELECTRONIC WARFARE,
전자전기,EWAIR,ELECTRONIC WARFARE AIRCRAFT,
전자전보고서유형코드,EWRPRTTYCD,ELECTRONIC WARFARE REPORT TYPE CODE,
전자전위협도,EWTL,ELECTRONIC WARFARE THREAT LEVEL,
전자전유효범위구분코드,EWEFTVSCOPCD,ELECTRONIC WARFARE EFFECTIVENESS SCOPE SECTION CODE,
전자전지원,EWS,ELECTRONIC WARFARE SUPPORT,ES
전자전지원자산번호,EWSANO,ELECTRONIC WARFARE SUPPORT ASSETS NUMBER,
전자전투,ELCBT,ELECTRONIC COMBAT,
전자정보,ELI,ELECTRONIC INFORMATION,
전자정부,EGOV,E-GOVERNMENT,
전자지갑,ERNRS,ELECTRONIC PURSE,
전자지원,ELS,ELECTRONIC SUPPORT,
전자지원및전자공격,EWSEA,ELECTRONIC WARFARE SUPPORT AND ELECTRONIC ATTACK,
전자청구지불시스템,EBPP,ELECTRONIC BILL PRESENTMENT AND PAYMENT,EBPP
전자투표,ECRC,ELECTRONIC VOTING,
전자파,ELCWV,ELECTRONIC WAVE,
전자파목록관리번호,EWCMNO,ELECTRONIC WAVE CATALOGUE MANAGEMENT NUMBER,
전자파주사형태코드,ELCWVSCTPCD,ELECTRONIC WAVE SCAN TYPE CODE,
전자화폐,ETRCSH,ELECTRONIC CASH,
전작,FRMRW,FORMER WORK,
전장,BTFLD,BATTLEFIELD,
전장,TOTLEN,TOTAL LENGTH,
전장관리정보체계,BMS,BATTLE MANAGEMENT SYSTEM,
전장관리정보체계유종코드,BMSOILTPCD,BATTLE MANAGEMENT SYSTEM OIL TYPE CODE,
전장기능,BTFFC,BATTLEFIELD FUNCTION,
전장분류코드,BTCLCD,BATTLEFIELD CLASSIFICATION CODE,
전장순환통제,BCC,BATTLEFIELD CIRCULATION CONTROL,
전장장비연동ID,BTLEQITCNTID,BATTLEFIELD EQUIPMENT INTERCONNECTION IDENTIFICATION NUMBER,
전장정보분석,IPB,INTELLIGENCE PREPARATION OF THE BATTLEFIELD,IPB
전재,WRDMG,WAR DAMAGE,
전재,TRFR,TRANSFER,
전재민,WARVT,WAR VICTIM,
전쟁,WAR,WAR,
전쟁물자소요,WMR,WAR MATERIEL REQUIREMENT,
전쟁법,LWFR,LAWS OF WAR,
전쟁예비량,WR,WAR RESERVE,전투예비량
전쟁예비물자,WRM,WAR RESERVE MATERIAL,"WRM,전쟁준비물자"
전쟁지도,DOW,DIRECTION OF WAR,
전쟁지속능력,WCA,WAR CONTINUANCE ABILITY,
전전년도,YRBFLST,THE YEAR BEFORE LAST,"전전년,재작년"
전전월,MNBFLST,THE MONTH BEFORE LAST,
전정,EMTR,EMITTER,
전정부호,EMTRSGN,EMITTER SIGN,
전주,ELTPL,ELECTRIC POLE,
전직,CHGEMP,CHANGE OF EMPLOYMENT,
전직지원교육,CESEDU,CHANGE OF EMPLOYMENT SUPPORT EDUCATION,
전진,ADVNCE,ADVANCE,
전진속도,SOA,SPEED OF ADVANCE,
전질,SUBPLDGE,SUB-PLEDGE,
전차,TANK,TANK,탱크
전차금,WSDC,WAGES IN ADVANCE,
전철,ELTRLWY,ELECTRIC RAILWAY,전기철도
전체,WHL,WHOLE,
전초,OUTPST,OUT POST,
전출,MVOUT,MOVING OUT,
전출일자,MVOUTDT,MOVING OUT DATE,전출일
전출입,MVIO,MOVE IN AND OUT,
전출입일자,MVIODT,MOVE IN AND OUT DATE,전출입일
전출자,MVOTNM,MOVING OUT MAN,
전출처,POMO,PLACE OF MOVING OUT,
전탐초소,RAS,RADAR SITE,
전투,CBT,COMBAT,
전투경찰,RTPLC,RIOT POLICE,
전투관리체계,CMSYS,COMBAT MANAGEMENT SYSTEM,
전투근무지원,CSSPT,COMBAT SERVICE SUPPORT,"전근,전투근무"
전투근무지원실,CSSC,COMBAT SERVICE SUPPORT CENTER,
전투기,CBFTR,COMBAT FIGHTER,
전투기지원항공기구분코드,CBFSADVSCD,COMBAT FIGHTER SUPPORTING AIRCRAFT DIVISION CODE,
전투긴요수리부속품,CCRP,COMBAT CRITICAL REPAIR PARTS,
전투긴요품목,CEI,COMBAT ESSENTIAL ITEM,
전투력,CBPW,COMBAT POWER,
전투력복원,ROCP,RESTORATION OF COMBAT POWER,
전투력증강,FEH,FORCE ENHANCEMENT,FMP
전투력평가성분작전코드,CPECOCD,COMBAT POWER EVEAL COMPONENT OPERATION CODE,
전투모,FLDCAP,FIELD CAP,
전투모의센터,BSCT,BATTLE SIMULATION CENTER,
전투복,BDU,BATTLE DRESS UNIFORM,
전투서열,OB,ORDER OF BATTLE,OB
전투서열목록,OBLST,ORDER OF BATTLE LIST,
전투서열유형코드,OBTYPECD,ORDER OF BATTLE TYPE CODE,
전투서열책자번호,OBBNO,ORDER OF BATTLE BOOKLET NUMBER,
전투손실,CC,COMBAT CONSUMPTION,
전투스트레스,CBTSTRSS,COMBAT STRESS,
전투식량,MRE,MEAL READY TO EAT,
전투실험,WRFEXP,WARFIGHTING EXPERIMENTATION,
전투예비유류,CROIL,COMBAT RESERVE OIL,
전투예비재고,CRSTCK,COMBAT RESERVE STOCK,
전투예비탄약,CRA,COMBAT RESERVE AMMUNITION,
전투예비품목,CRITM,COMBAT RESERVE ITEM,
전투용,FCBT,FOR COMBAT,
전투작전처장,CCO,CHIEF OF COMBAT OPERATION,
전투준비태세,CBRDN,COMBAT READINESS,
전투지경선,BNDRY,BOUNDARY,
전투지역전단,FEBA,FORWARD EDGE OF THE BATTLE AREA,FEBA
전투지휘훈련,BCTP,BATTLE COMMAND TRAINING PROGRAM,
전투진지,BTLPST,BATTLE POSITION,
전투첩보,CBINF,COMBAT INFORMATION,
전투체계유형코드,COMBSYSTYPCD,COMBAT SYSTEM TYPE CODE,
전투치중대,CBTRN,COMBAT TRAIN,
전투탄,CBAMN,COMBAT AMMUNITION,
전투통제반,CCT,COMBAT CONTROL TEAM,
전투편성,CBORG,COMBAT ORGANIZATION,
전투편성기구도일련번호,COOCSNO,COMBAT ORGANIZATION ORGANIZATION CHART SERIAL NUMBER,
전투편성표,COCO,CHART OF COMBAT ORGANIZATION,
전투피해,BDB,BATTLE DAMAGE,
전투피해평가,BDA,BATTLE DAMAGE ASSESSMENT,BDA
전투피해평가단계코드,BDASTCD,BATTLE DAMAGE ASSESSMENT STEP CODE,
전투피해평가보고식별번호,BDARINO,BATTLE DAMAGE ASSESSMENT REPORT IDENTIFICATION NUMBER,
전투피해평가보고유형코드,BDARPTYPECD,BATTLE DAMAGE ASSESSMENT REPORT TYPE CODE,
전투피해평가요약,BDASUM,BATTLE DAMAGE ASSESSMENT SUMMARY,BDASUM
전투피해평가요약보고식별번호,BDASUMRINO,BATTLE DAMAGE ASSESSMENT SUMMARY REPORT IDENTIFICATION NUMBER,
전투하중,CBTLOAD,COMBAT LOAD,
전투화,CBTSHS,COMBAT SHOES,군화
전투휴대량,CBTLD,COMBAT LOAD,
전파,RDWV,RADIO WAVE,
전파,DSMT,DISSEMINATION,
전파,PROPGTN,PROPAGATION,
전파관리소,RMO,RADIO MANAGEMENT OFFICE,
전파방해,JAM,JAMMING,
전파방해신호,JMSTR,JAMMING STROBE,
전파보호시간구분코드,RDWVPRTCTMCD,RADIO WAVE PROTECTION TIME SECTION CODE,
전파세,RWTAX,RADIO WAVE TAX,
전평시,WTPT,WARTIME AND PEACETIME,전/평시
전평시구분코드,WTPTDVCD,WARTIME AND PEACETIME DIVISION CODE,
전폭,FULWD,FULL WIDTH,
전폭약,BSTR,BOOSTER,BOOSTER
전표,SLIP,SLIP,회계전표
전표번호,ACCDOCNO,ACCOUNT DOCUMENT NUMBER,
전표요청번호,SLPRQSTNO,SLIP REQUEST NUMBER,
전피,GNSL,GOAT AND SHEEP LEATHER,
전혈,WHLBLD,WHOLE BLOOD,
전혈능력,WHBLDABT,WHOLE BLOOD ABILITY,
전형,SCRNG,SCREENING,
전형일자,SCRDT,SCREENING DATE,전형일
전호,PRENUM,PRECEDING NUMBER,
전화,TEL,TELEPHONE,TEL
전화국,TELOFC,TELEPHONE OFFICE,
전화기,PHONE,PHONE,
전화번호,TELNO,TELEPHONE NUMBER,
전화번호부,TELBOOK,TELEPHONE BOOK,
전환,CNVSN,CONVERSION,
전환사채,CBLBD,CONVERTIBLE BOND,
전환수송,TTRS,TRANSFER TRANSPORTATION,
전환일자,CVSNDT,CONVERSION DATE,전환일
전환전,BFCNV,BEFORE CONVERSION,
전환주식,CVTK,CONVERTIBLE STOCK,
전환후,AFCNV,AFTER CONVERSION,
전회,LASTTM,LAST TIME,
전후,FNR,FRONT AND REAR,
전후반기,FNSHFYR,FIRST AND SECOND HALF YEAR,상하반기
절,PRGRP,PARAGRAPH,
절감,REDU,REDUCTION,
절개,INCSN,INCISION,
절기,SBSN,THE SUBDIVISIONS OF THE SEASONS,
절단,SVRNC,SEVERANCE,
절단기,CUTTR,CUTTERS,
절대,ABSLT,ABSOLUTELY,
절대오차,ABSERR,ABSOLUTE ERROR,
절도,THEFT,THEFT,
절사,TRCTN,TRUNCATION,단전
절삭가공,CUTPRC,CUTTING PROCESS,
절약,FRGLT,FRUGALITY,
절연,INSLTN,INSULATION,
절연판,ISLBD,INSULATING BOARD,
절전,PSE,POWER SAVE,
절주,MODRINK,MODERATION IN DRINKING,
절차,PRCDR,PROCEDURE,
절차서,PDOC,PROCEDURES DOCUMENT,
절충,CMPS,COMPROMISE,
절충교역,OFST,OFFSET,
절충교역계약서,OFSCTR,OFFSET CONTRACT,
절충교역비율,OFSRT,OFFSET RATE,
절충교역양해각서,OMOU,OFFSET MEMORANDUM OF UNDERSTANDING,
절충교역자산,OFSAST,OFFSET ASSETS,
절충교역제안서,OFSPRPS,OFFSET PROPOSAL,
절충교역평가,OFSEVL,OFFSET EVALUATION,
절충교역협상대안,OFSRQM,OFFSET REQUIREMENTS,
절편,INTC,INTERCEPT,
점,PNT,POINT,
점검,CHECK,CHECK,"체크,CHECK"
점검번호,CHKNO,CHECK NUMBER,
점검분야번호,CHKSPHNO,CHECK SPHERE NUMBER,
점검일자,CHKDT,CHECK DATE,점검일
점검종류코드,CKCD,CHECK KIND CODE,
점검표,CHKTB,CHECK TABLE,
점령,OCPTN,OCCUPATION,
점멸,BLK,BLINKING,
점선,DOTLN,DOTTED LINE,
점성,VSCST,VISCOSITY,
점수,SCR,SCORE,
점수표,SCRBRD,SCORE BOARD,
점용인,OCCPR,OCCUPIER,
점유,OCCPTN,OCCUPATION,
점유권,PSESRT,RIGHT OF POSSESSION,
점유율,OCPRT,OCCUPATION RATE,
점유일자,OCPDT,OCCUPATION DATE,점유일
점유자,OCPT,OCCUPANT,
점자,BRLL,BRAILLE,
점진적,PRGRSS,PROGRESSIVE,
점퍼,JUMPER,JUMPER,
점화,IGNITN,IGNITION,
점화기,LGHTR,LIGHTER,
점화약통,IQUTCTG,IGNITION CARTRIDGE,
접견,ADNC,AUDIENCE,
접골사,BNSTR,BONESETTER,
접근,ACES,ACCESS,
접근권한구분코드,ACATCLCD,ACCESS AUTHORITY CLASSIFICATION CODE,
접근로,AAG,APPROACH LANES,
접근일자,ACSDT,ACCESS DATE,접근일
접근자,ACSPS,ACCESS PERSON,
접근제어목록,ACLST,ACCESS CONTROL LIST,
접대,RECEPTN,RECEPTION,
접대비,RCPXPNS,RECEIPTION EXPENSE,
접대자,ENTRTL,ENTERTAIL,
접두어,PRFX,PREFIX,
접미,SFX,SUFFIX,SUFFIX
접미번호,SUFNO,SUFFIX NUMBER,접미부호
접미코드,SX,SUFFIX CODE,
접속,CNNTN,CONNECTION,
접속일자,CNTDT,CONNECTING DATE,접속일
접수,RCP,RECEIPT,
접수구분코드,RCPDVCD,RECEIPT DIVISION CODE,
접수내역출력,RPPRT,RECEIPT PARTICULARS PRINT,
접수대,RCPCNTR,RECEPTION COUNTER,
접수번호,RCPTNO,RECEIPT NUMBER,
접수일자,RCPDT,RECEIPT DATE,접수일
접수자,RCPTN,RECEPTIONIST,
접수제한시간,RRSTTM,RECEIPT RESTRICTION TIME,
접수증,RCPD,RECEIPT DOCUMENT,
접수처,INFOFC,INFORMATION OFFICE,
접안,TCDN,TOUCH DOWN,
접안능력,TDABLT,TOUCH DOWN ABILITY,
접적,CTCT,CONTACT,
접적지역,CNTAR,CONTACT AREA,
접절식,FLDG,FOLDING,
접점,PNTCT,POINT OF CONTACT,
접종,INOCL,INOCULATION,
접지,EARTH,EARTH,
접촉,CNTCT,CONTACT,
접촉선,LC,LINE OF CONTACT,LC
접촉일자,CNTCDT,CONTACT DATE,접촉일
접촉지점,CTCTPNT,CONTACT POINT,
접합,JN,JOINING,
정가,NETPRC,NET PRICE,
정관,ATCSC,ARTICLES OF ASSOCIATION,
정규,FRL,FIXED RULE,
정규군,RGLRARM,REGULAR ARMY,
정규분포,NORDSTB,NORMAL DISTRIBUTION,
정규직,PMNTPST,PERMANENT POSITION,
정규표현,REGEXP,REGULA EXPRESSION,
정규화,NRMZTN,NORMALIZATION,
정근,DLGN,DILIGENCE,
정근수당,DLGALW,DILIGENCE ALLOWANCE,
정글짐,JGGM,JUNGLE GYM,
정기,FXPRD,FIXED PERIOD,
정기검사,PI,PERIODIC INSPECTION,
정기군수품조사,CYCIVT,CYCLE INVENTORY,
정기권,CMMTKT,COMMUTATION TICKET,
정기금채권,CMMBR,CLAIM FOR MONEY PAYABLE PERIODICALLY,
정기배정,RGLAPT,REGULAR APPORTIONMENT,
정기선,LINER,LINER,
정기정보보고유형코드,FPINFRPTTYCD,FIXED PERIOD INFORMATION REPORT TYPE CODE,
정년,RTMAGE,RETIREMENT AGE,
정년단축,RTMGSRT,RETIREMENT AGE SHORT,
정년전역,RATRSF,RETIREMENT AGE TRANSFER,
정담,FRNDTLK,FRIENDLY TALK,
정답,CRAS,CORRECT ANSWER,
정답번호,CRASNO,CORRECT ANSWER NUMBER,
정당,PLTCPT,POLITICAL PARTY,당
정당,RTFLN,RIGHTFULNESS,
정당선거사무소,PPEOFC,POLITICAL PARTY ELECTION OFFICE,
정당성,JSTNS,JUSTNESS,
정대,CRSC,CRAFT SECTION,
정도,DGR,DEGREE,
정량,FDQNT,FIXED QUANTITY,
정량지표,QYEVAL,QUANTITATIVE EVALUATION,
정렬,STLN,STANDING IN LINE,소팅
정렬번호,SILNO,STANDING IN LINE NUMBER,
정률,FXRT,FIXED RATE,정율
정리,DSTNC,DISTANCE,
정리,ARNGMNT,ARRANGEMENT,
정리능력,ARGCP,ARRANGEMENT CAPACITY,
정리일자,ARNGDT,ARRANGEMENT DATE,정리일
정맥,VEIN,VEINS,
정맥압,VNPRSS,VENOUS PRESSURE,
정맥주사,IV,INTRAVENOUS INJECTION,
정면,FRONT,FRONT,
정면공격,HEADON,HEADON,
정무,PLTAFS,POLITICAL AFFAIRS,
정밀,PRCSN,PRECISION,
정밀검사,PRCTST,PRECISION TEST,
정밀도,PRCSDG,PRECISION DEGREE,
정밀매복,DTLAB,DETAILED AMBUSH,
정밀유도탄,PGM,PRECISION GUIDED MUNITION,
정밀접근레이더,PAR,PRECISION APPROACH RADAR,
정밀정찰작전,SRO,SENSITIVE RECONNAISSANCE OPERATIONS,
정밀측정,DTLSV,DETAILED SURVEY,
정밀측정지원형태코드,MSSCD,MEASURE SUPPORT SHAPE CODE,
정밀측정표준장비,DSSTDEQ,DETAILED SURVEY STANDARD EQUIPMENT,
정박,ACRG,ANCHORAGE,
정보,INFO,INFORMATION,
정보가공,PEDS,"PROCESSING, EXPLOITATION AND DISSEMINATION",
정보감시태세코드,WATCHCONCD,WATCH CONDTION CODE,
정보관계구분코드,INFRLDVCD,INFORMATION RELATIONSHIP DIVISION CODE,
정보교환요구목록,IER,INFORMATION EXCHANGE REQUIREMENT,
정보기술,IT,INFORMATION TECHNOLOGY,
정보기술서비스관리,ITSM,INFORMATION TECHNOLOGY SERVICE MANAGEMENT,
정보번호,INFONO,INFORMATION NUMBER,
정보보고서번호,INFRPTNO,INFORMATION REPORT NUMBER,
정보보고서종류코드,INFRPTKCD,INFORMATION REPORT KIND CODE,
정보보호업체,INFPRTCO,INFORMATION PROTECTION COMPANY,
정보분석번호,INFANLNO,INFORMATION ANALYSIS NUMBER,
정보분석보고서,IARPRT,INFORMATION ANALYSIS REPORT,
정보사령부,KDIC,KOREAN DEFENSE INTELLIGENCE COMMAND,정보사
정보상황,ITLGCSTT,INTELLIGENCE STATE,
정보수사기관,INNT,INTELLIGENCE INVESTIGATION,
정보수집,INTCOL,INTELLIGENCE COLLECTION,
정보요구,IRQ,INTELLIGENCE REQUIREMENT,
정보요구,RFI,REQUEST FOR INFORMATION,
정보요구번호,RFINO,REQUEST FOR INFORMATION NUMBER,
정보요구수신단계코드,IRRCVSTCD,INTELLIGENCE REQUIREMENT RECEIVE STEP CODE,
정보요구진행상태코드,RFIPSCD,REQUEST FOR INFORMATION PROGRESS STATE CODE,
정보융합체계,DFS,DATA FUSION SYSTEM,
정보작전,IFOP,INFORMATION OPERATION,
정보작전방호태세,INFOCON,INFORMATION OPERATIONS CONDITION,
정보작전방호태세등급코드,INOPPRATGRCD,INFORMATION OPERATIONS PROTECTION ATTITUDE GRADE CODE,
정보작전자산,IFOPASST,INFORMATION OPERATION ASSETS,
정보작전자산구분코드,IFOPASSTDVCD,INFORMATION OPERATIONS ASSETS DIVISION CODE,
정보작전표적구분코드,IFOPTGTDVSCD,INFORMATION OPERATIONS TARGET DIVISION CODE,
정보제공자,IOFR,INFORMATION OFFERER,
정보종합실,ASIC,ALL SOURCE INTELLIGENCE CENTER,
정보지,IFPPR,INFORMATION PAPER,
정보참모처,OFCINT,OFFICE OF INTELLIGENCE,정보처
정보처리,INFPRC,INFORMATION PROCESSING,
정보처리기,INFOTMCHN,INFORMATION TREATMENT MACHINE,
정보철,INFBND,INFORMATION BINDING,
정보체계,IS,INFORMATION SYSTEM,
정보출처,IOS,INTELLIGENCE OF SOURCE,
정보통신,DTCOM,INFORMATION COMMUNICATION,
정보통신동원,INCMOB,INFORMATION COMMUNICATION MOBILIZATION,
정보통신망,INFNET,INFORMATION NETWORK,
정보통신망구분코드,INFNETDVCD,INFORMATION NETWORK DIVISION CODE,
정보통신부,MIC,MINISTRY OF INFORMATION AND COMMUNICATION,정통부
정보통신산업,INFCMNDSTRY,INFOCOMINDUSTRY,
정보판단,ITLEST,INTELLIGENCE ESTIMATE,
정보판단자료분류코드,ITLESDATCLCD,INTELLIGENCE ESTIMATE DATA CLASSIFICATION CODE,
정보화,INF,INFORMATION,
정보화사업,INFPRJ,INFORMATION PROJECT,
정보화전략계획,ISP,INFORMATION STRATEDY PLAN,
정본,OFCCPY,OFFICIALLY CERTIFIED COPY,
정부,GOV,GOVERNMENT,행정부
정부개발원조,ODA,OFFICIAL DEVELOPMENT ASSISTANT,
정부구매카드,GPC,GOVERNMENT PURCHASE CARD,
정부기관,GVMAGNC,GOVERNMENT AGENCIES,
정부기능연계모델,BRM,BUSINESS REFERENCE MODEL,BRM
정부민원행정서비스시스템,G4C,GOVERNMENT FOR CITIZEN,G4C
정부재정통계,GFS,GOVERNMENT FINANCE STATISTICS,GFS
정부조달,GOVPRC,GOVERNMENT PROCUREMENT,
정부조달협정,GPCD,GOVERNMENT PROCUREMENT CODE,
정부출연금,GOVCTRB,GOVERNMENT CONTRIBUTION,출연금
정부출연기관,GOVFND,GOVERNMENT-FUNDED,출연기관
정부출자기업체,GRNCM,GOVERNMENT INVESTMENT COMPANY,
정부투자,GOVIVST,GOVERNMENT INVESTMENT,
정부항공운송의뢰,GTR,GOVERNMENT TRANSPORTATION REQUEST,
정비,MNTNC,MAINTENANCE,
정비간평균시간,MTBM,MEAN TIME BETWEEN MAINTENANCE,
정비거래선,MCNTN,MAINTENANCE CONNECTION,
정비검사,MI,MAINTENANCE INSPECTION,
정비고,MTNFCL,MAINTENANCE FACILITIES,정비장
정비관,MTNOFCR,MAINTENANCE OFFICER,정비장교
정비관리번호,MMNO,MAINTENANCE MANAGEMENT NUMBER,
정비구분,MTNCTG,MAINTENANCE CATEGORY,
정비구분코드,MTCTCD,MAINTENANCE CATEGORY CODE,
정비기간,RCTM,REPAIR CYCLE TIME,수리복귀시간
정비기술표준심의,MRB,MAINTENANCE REVIEW BOARD,
정비기준,MTNCRT,MAINTENANCE CRITERION,
정비능력,MTCP,MAINTENANCE CAPACITY,
정비단계,EOM,ECHELON OF MAINTENANCE,
정비단계구분코드,MNTNCSTEPCD,MAINTENANCE STEP SECTION CODE,
정비단계코드,EOMCD,ECHELON OF MAINTENANCE CODE,
정비대기,AWM,AWAITING MAINTENANCE,
정비대상검사종류코드,MTOBJISPKDCD,MAINTENANCE OBJECT INSPECTION KIND CODE,
정비대상번호,MONO,MAINTENANCE OBJECT NUMBER,
정비대체장비,MTFLEQ,MAINTENANCE FLOAT EQUIPMENT,"대충장비,MF"
정비도,MTABLT,MAINTAINABILITY,
정비도예측,MTPRDC,MAINTAINABILITY PREDICTION,
정비도할당,MA,MAINTAINABILITY ALLOCATION,
정비반,MTNTM,MAINTENANCE TEAM,
정비부대,MNTUNT,MAINTENANCE UNIT,
정비부대유형코드,MTNUNITYPCD,MAINTENANCE_UNIT TYPE CODE,
정비부서,MNDP,MATENANCE DEPARTMENT,
정비부품,MTNPT,MAINTENANCE PART,유지부품
정비비,MNTNCST,MAINTENANCE COST,정비비용
정비사,MCHNC,MECHANIC,
정비소요,MTNRQM,MAINTENANCE REQUIREMENT,
정비소요카드,MRC,MAINTENANCE REQUIREMENT CARD,MRC
정비수집소,MCP,MAINTENANCE COLLECTION POINT,
